,Codigo Web,Titulo,Barrio,Barrio Catastral,Precio venta,Precio arriendo,Area construida,Area privada,Estrato,Habitaciones,Parqueaderos,Banos,Antiguedad,Interior,Exterior,Zona,Sector,Long,Lat,Direccion,Url
129,14336-M3994680,Apartamento en Arriendo,,,,$2.200.000,90,90 ,4,3,2,3,Entre 0 y 5 años,Zona de lavandería@Piso 4@,Conjunto cerrado@,,,0.0,0.0,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-cajica-3-habitaciones-3-banos-2-garajes/14336-M3994680
130,10062-M4204344,"Apartamento en Arriendo, Torres Xiagua",Torres Xiagua,,,$2.450.000,85,85 ,4,3,1,2,Entre 0 y 5 años,Apto para niños@Chimenea@Citófonos@Comedor auxiliar@Parqueadero cubierto@Sauna / turco@Zona de lavandería@Instalación de gas natural@Closets 3@Piso 8@Se permite fumar@Permite mascotas@Calentador gas@Tipo de cocina abierta@Tipo de comedor sala comedor@Deposito 1@Tipo de estufa gas@Tipo de parqueadero propio@Tipo acabado de piso laminado@Tipo de piso en alcobas laminado@Tipo de piso en comedor laminado@Tipo de piso en sala laminado@Vista exterior@,Area Terraza/Balcón 5 m²@Ascensor@Acceso para discapacitados@Circuito cerrado de TV@Piscina@Vista panorámica@Conjunto cerrado@Número de Ascensores 1@Terraza/Balcón balcón@Vigilancia 24hrs@,Gimnasio@Salón comunal@Zona para niños@Zonas verdes@,Cerca centros comerciales@Cerca colegios / universidades@Cerca parques@Cerca supermercados@Cerca transporte público@Sobre vía principal@,0.0,0.0,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-chia-torres-xiagua-3-habitaciones-2-banos-1-garajes/10062-M4204344
131,79-M4092272,"Apartamento en Arriendo, Chico",chico,,,$8.300.000,190,190 ,6,3,2,3,Remodelado,Apto para niños@Citófonos@Tipo de cortinas persianas@Estudio o biblioteca@Parqueadero cubierto@Zona de lavandería@Instalación de gas natural@Closets 3@Piso 4@Permite mascotas@Calentador gas@Tipo de cocina abierta@Tipo de comedor comedor independiente@Deposito 1@Tipo de estufa gas@Tipo de parqueadero independiente@Tipo acabado de piso madera@Tipo de piso en alcobas laminado@Tipo de piso en comedor laminado@Tipo de piso en estudio laminado@Tipo de piso en sala laminado@Vista exterior@,Ascensor@Circuito cerrado de TV@Vista panorámica@Número de Ascensores 1@Terraza/Balcón ninguno@Vigilancia 24hrs@,,Cerca centros comerciales@Cerca colegios / universidades@Cerca parques@Cerca supermercados@Cerca transporte público@Sobre vía principal@,-74.04848,4.6729507,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-3-habitaciones-3-banos-2-garajes/79-M4092272
132,15753-M4468709,Apartamento en Arriendo,,,,$750.000,42,42 ,3,2,,1,Entre 5 y 10 años,Apto para niños@Tipo de cortinas pesadas@Equipado / amoblado@Puerta seguridad@Zona de lavandería@Instalación de gas natural@Closets 2@Piso 2@Permite mascotas@Calentador no tiene@Tipo de cocina lineal@Tipo de comedor sala comedor@Deposito 0@Tipo de estufa gas@Tipo acabado de piso baldosa@Tipo de piso en alcobas baldosa@Tipo de piso en comedor baldosa@Tipo de piso en estudio baldosa@Tipo de piso en sala baldosa@Vista interior@,Circuito cerrado de TV@Conjunto cerrado@Número de Ascensores 0@Terraza/Balcón ninguno@Vigilancia 24hrs@,Salón comunal@Zona para niños@Zonas verdes@,Cerca colegios / universidades@Cerca parques@Cerca transporte público@,0.0,0.0,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-mosquera-2-habitaciones-1-banos/15753-M4468709
133,10139-M4468906,"Apartamento en Arriendo, CABRERA",CABRERA,,,$20.000.000,239,239 ,6,2,3,2,Entre 5 y 10 años,Apto para niños@Citófonos@Cuarto de servicio@Estudio o biblioteca@Parqueadero cubierto@Hall de alcobas@Zona de lavandería@Instalación de gas natural@Closets 1@Piso 4@Calentador caldera@Tipo de cocina abierta@Tipo de comedor comedor independiente@Deposito 1@Tipo de estufa gas@Tipo de parqueadero propio@Tipo acabado de piso madera@Tipo de piso en alcobas madera@Tipo de piso en comedor madera@Tipo de piso en estudio madera@Tipo de piso en sala madera@Vista exterior@,Ascensor@Número de Ascensores 2@Terraza/Balcón ninguno@Vigilancia 24hrs@,Salón comunal@,Cerca centros comerciales@Cerca parques@Cerca supermercados@Cerca transporte público@Sobre vía secundaria@,-74.052,4.6715245,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-cabrera-2-habitaciones-2-banos-3-garajes/10139-M4468906
134,2996-M2591743,"Apartamento en Venta y Arriendo, MONTEARROYO",MONTEARROYO,,$6.500.000.000,$18.500.000,660,660 ,,4,2,5,Más de 20 años,Equipado / amoblado@Closets 4@Piso 8@Tipo de cocina otra@Tipo de comedor comedor independiente@Tipo de parqueadero propio@Vista exterior@,Area Terraza/Balcón 60 m²@Ascensor@Conjunto cerrado@Número de Ascensores 1@Terraza/Balcón terraza@,,,-74.028206,4.7169933,,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-cedritos-4-habitaciones-5-banos-2-garajes/2996-M2591743
135,14336-M3703616,Apartamento en Arriendo,,,,$2.000.000,110,110 ,4,3,1,2,Remodelado,Zona de lavandería@Piso 4@,Conjunto cerrado@,,,0.0,0.0,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-chia-3-habitaciones-2-banos-1-garajes/14336-M3703616
136,597-M4205703,"Apartamento en Arriendo, EL ESMERALDAL",EL ESMERALDAL,,,$5.600.000,120,120 ,5,3,2,3,Entre 10 y 20 años,Apto para niños@Calefacción@Citófonos@Comedor auxiliar@Tipo de cortinas ninguna@Cuarto de servicio@Estudio o biblioteca@Parqueadero cubierto@Hall de alcobas@Puerta seguridad@Sauna / turco@Zona de lavandería@Instalación de gas natural@Closets 3@Piso 1@Se permite fumar@Permite mascotas@Calentador gas@Tipo de cocina abierta@Tipo de comedor sala comedor@Deposito 1@Tipo de estufa gas@Tipo de parqueadero propio@Tipo acabado de piso porcelanato@Tipo de piso en alcobas porcelanato@Tipo de piso en comedor porcelanato@Tipo de piso en estudio porcelanato@Tipo de piso en sala porcelanato@Vista exterior@,Area Terraza/Balcón 12 m²@Acceso para discapacitados@Circuito cerrado de TV@Piscina@Vista panorámica@Conjunto cerrado@Número de Ascensores 0@Terraza/Balcón terraza@Vigilancia 24hrs@,Cancha(s) de basket@Cancha(s) de fútbol@Cancha(s) de squash@Cancha(s) de tennis@Gimnasio@Salón comunal@Zona de BBQ@Zona para niños@Zonas verdes@,Cerca centros comerciales@Cerca colegios / universidades@Cerca parques@Cerca supermercados@Cerca transporte público@Sobre vía secundaria@,0.0,0.0,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-envigado-el-esmeraldal-3-habitaciones-3-banos-2-garajes/597-M4205703
137,5255-M2680879,"Apartamento en Venta y Arriendo, CHICO LOS ROSALES",CHICO LOS ROSALES,,$4.423.000.000,$14.000.000,303,282 ,6,3,3,5,Entre 0 y 5 años,Apto para niños@Chimenea@Citófonos@Comedor auxiliar@Tipo de cortinas persianas@Cuarto de servicio@Estudio o biblioteca@Parqueadero cubierto@Hall de alcobas@Puerta seguridad@Zona de lavandería@Instalación de gas natural@Closets 4@Piso 4@Se permite fumar@Permite mascotas@Calentador gas@Tipo de cocina en u@Tipo de comedor sala comedor@Deposito 1@Tipo de estufa gas@Tipo de parqueadero propio@Tipo acabado de piso madera@Tipo de piso en alcobas madera@Tipo de piso en comedor madera@Tipo de piso en estudio madera@Tipo de piso en sala madera@Vista exterior@,Area Terraza/Balcón 22 m²@Ascensor@Circuito cerrado de TV@Piscina@Conjunto cerrado@Número de Ascensores 2@Terraza/Balcón balcón@Vigilancia 24hrs@,Cancha(s) de basket@Cancha(s) de squash@Gimnasio@Salón comunal@Zona de BBQ@Zona para niños@Zonas verdes@,Cerca centros comerciales@Cerca colegios / universidades@Cerca parques@Cerca supermercados@Cerca transporte público@Sobre vía secundaria@,-74.05028,4.6602182,,https://www.metrocuadrado.com/inmueble/venta-apartamento-bogota-los-rosales-3-habitaciones-5-banos-3-garajes/5255-M2680879
138,10139-M4469360,"Apartamento en Arriendo, CHICO RESERVADO",CHICO RESERVADO,,,$8.500.000,116,116 ,6,2,2,3,Entre 0 y 5 años,Apto para niños@Citófonos@Parqueadero cubierto@Zona de lavandería@Instalación de gas natural@Closets 1@Piso 2@Calentador gas@Tipo de cocina abierta@Tipo de comedor sala comedor@Deposito 1@Tipo de estufa gas@Tipo de parqueadero propio@Tipo acabado de piso laminado@Tipo de piso en alcobas laminado@Tipo de piso en comedor laminado@Tipo de piso en sala laminado@,Area Terraza/Balcón 1 m²@Ascensor@Número de Ascensores 1@Terraza/Balcón balcón@Vigilancia 24hrs@,Gimnasio@Salón comunal@,Cerca centros comerciales@Cerca parques@Cerca supermercados@Cerca transporte público@Sobre vía secundaria@,-74.042595,4.679007,,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-chico-norte-et.-ii-2-habitaciones-3-banos-2-garajes/10139-M4469360
